premise,hypothesis,label,idx
Focus of the project will be on sewerage networks.,"Construct infrastructure for flood control, transport, etc.",0,496
Focus of the project will be on marine pollution control.,Construct marine tongues and wave suppressors to avoid waves- induced hazards.,0,497
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,"Construct public facilities and infrastructures (road, hydraulic and stormwaterwastewater drainage) which are fit for purpose and resilient thanks to high-quality design and implementation and proper maintenance.",0,498
Focus of the project will be on bulk water storage.,Construct storage dams for hydropower generation.,0,499
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,Construct storage dams for hydropower generation.,0,500
Focus of the project will be on atmospheric water generation.,Constructing water points and equipping them.,0,501
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,Construction and or improvement of reservoirs for micro-irrigation and livestock watering in rural areas throughout all regions.,1,502
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,"Construction and rehabilitation of reservoirs, digging of wells, Hand pumps, Dams construction.",0,503
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.",Construction and rehabilitation of roads and bridges.,0,504
Focus of the project will be on irrigation  for agricultural use.,Construction andor improvement of reservoirs for micro-irrigation and livestock watering in rural areas throughout all regions.,1,505
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,Construction andor improvement of reservoirs for micro-irrigation and livestock watering in rural areas throughout all regions.,1,506
Focus of the project will be on biofuel-fired power plants.,"Construction at maria glta of thermal biofuel power plants (fuel, natural gas) (on X the whole at least NUMBER MW by 2030)- Developing electric power generation using natural gas.",1,507
Focus of the project will be on on-shore power for ports.,Construction in the port of cotonou of a and sources of Liquified Natural gas regasifying floating renewable energies terminal (total capacity of the power plants to operate:500 MW).,1,508
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,Construction of a national number kv line to interconnect all cities.,0,509
Focus of the project will be on water concessions.,Construction of a national water laboratory.,0,510
Focus of the project will be on fishing boats building.,Construction of barriers and protections to sea edges.,0,511
Focus of the project will be on shipbuilding.,"Construction of barriers, roads and bridges.",0,512
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,Construction of barriers: Relocation of local communities.,0,513
Focus of the project will be on afforestation for erosion control.,Construction of contour lines to control erosion.,0,514
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Construction of coverage networks of drinking water and sewage.,1,515
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,Construction of coverage networks of drinking water and sewage.,1,516
Focus of the project will be on decarbonization of port handling and rolling equipment.,Construction of decelerating runoff waters obstacles (small dikes) in pluvial and oasis areas.,0,517
Focus of the project will be on ballast water treatment.,Construction of desalination and water testing laboratories.,0,518
Focus of the project will be on brackish ground-water desalination.,Construction of desalination and water testing laboratories.,0,519
Focus of the project will be on water treatment facilities.,Construction of desalination and water testing laboratories.,0,520
Focus of the project will be on railroad equipment building.,"Construction of enabling infrastructure for electricity sector development, including power lines, substations and transmission facilities.",0,521
Focus of the project will be on fishing boats building.,Construction of infrastructures for vulnerable fishing communities.,0,522
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.",Construction of infrastructures for vulnerable fishing communities.,0,523
Focus of the project will be on sustainable solutions for ports.,Construction of infrastructures for vulnerable fishing communities.,0,524
Focus of the project will be on decentralized water distribution.,Construction of large scale water capture and storage facilities and equitable distribution and access systems.,1,525
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Construction of large scale water capture and storage facilities and equitable distribution and access systems.,0,526
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Construction of large scale water capture and storage facilities and equitable distribution and access systems.,1,527
Focus of the project will be on large water supply systems.,Construction of large scale water capture and storage facilities and equitable distribution and access systems.,1,528
"Focus of the project will be on rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use.",Construction of large scale water capture and storage facilities and equitable distribution and access systems.,0,529
Focus of the project will be on water transport.,Construction of large scale water capture and storage facilities and equitable distribution and access systems.,1,530
Focus of the project will be on water treatment facilities.,Construction of large scale water capture and storage facilities and equitable distribution and access systems.,0,531
Focus of the project will be on bulk water supply.,Construction of multipurpose hydropower to expand the water storage capacity.,0,532
Focus of the project will be on water pumping.,Construction of multipurpose hydropower to expand the water storage capacity.,0,533
Focus of the project will be on fishing boats building.,Construction of number new dams and number ponds.,0,534
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,"Construction of reservoirs of drinking water, creating a strategic reserve, capable of supplying the population, in cases of natural catastrophes.",0,535
Focus of the project will be on atmospheric water generation.,Construction of reservoirs of drinking water.,0,536
Focus of the project will be on bulk water storage.,Construction of reservoirs of drinking water.,1,537
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,Construction of reservoirs of drinking water.,0,538
Focus of the project will be on water supply pumping stations.,Construction of reservoirs of drinking water.,0,539
Focus of the project will be on water transport.,Construction of reservoirs of drinking water.,0,540
Focus of the project will be on fishing boats building.,Construction of sea walls with standards and specification where appropriate.,0,541
"Focus of the project will be on harbours and docks, harbour guidance systems, ships and boats.",Construction of sea walls with standards and specification where appropriate.,0,542
Focus of the project will be on fishing boats building.,Construction of seawalls (subject to existing plans and code).,0,543
Focus of the project will be on shipbuilding.,Construction of seawalls (subject to existing plans and code).,0,544
Focus of the project will be on fishing boats building.,Construction of seawalls (subject to existing plans and codes).,0,545
Focus of the project will be on fishing boats building.,Construction of shelters and parking for artesenal fleets.,0,546
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.",Construction of shelters and parking for artesenal fleets.,0,547
Focus of the project will be on fishing boats building.,"Construction of shelters and parks for artesanal fleet; Construction and installation of Concentration Fish Device (DFC), at coastal zone; Training the artesanal fishermen.",0,548
Focus of the project will be on fishing boats building.,Construction of shelters and parks for fishing artesanal.,0,549
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Construction of silt traps and diversion furrows; Construction of waterways.,0,550
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Construction of small check dams and rainwater harvesting schemes to meet water supply for domestic and irrigation use.,0,551
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,Construction of small scale dams and water reservoirs in the highlands and downstream where feasible.,0,552
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Construction of soilwater conservation and small stream diversion structures on the rangeland.,0,553
Focus of the project will be on water supply pumping stations.,Construction of system of drinking water supply Establishment of agrotourist complexes at Monte Caf and Porto Real.,0,554
Focus of the project will be on decentralized water distribution.,"Construction of systems of water supply for the population, using the sources and the rivers, whose treatment is much cheaper.",0,555
Focus of the project will be on decentralized water treatment.,"Construction of systems of water supply for the population, using the sources and the rivers, whose treatment is much cheaper.",0,556
Focus of the project will be on large water supply systems.,"Construction of systems of water supply for the population, using the sources and the rivers, whose treatment is much cheaper.",1,557
Focus of the project will be on large water supply systems.,Construction of systems of water supply with treatment; stallation of systems of treatment of water; Training of personnel; Sensitization of population; Creation and attendance of local structures.,1,558
Focus of the project will be on water treatment facilities.,Construction of systems of water supply with treatment; stallation of systems of treatment of water; Training of personnel; Sensitization of population; Creation and attendance of local structures.,1,559
Focus of the project will be on basic drinking water supply.,Construction of two drinking water supply systems in the rural zone.,1,560
Focus of the project will be on water supply pumping stations.,Construction of two hydro power stations at claudino faro and Bernardo Faro.,0,561
Focus of the project will be on water supply pumping stations.,"Construction of two hydro power-stations, at claudino Faro and Bernardo Faro.",0,562
Focus of the project will be on basic drinking water supply.,Construction of two systems of drinking water supply in rural zones.,1,563
Focus of the project will be on decentralized water distribution.,Construction of two systems of drinking water supply in rural zones.,1,564
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Construction of two systems of drinking water supply in rural zones.,0,565
Focus of the project will be on large water supply systems.,Construction of two systems of drinking water supply in rural zones.,0,566
"Focus of the project will be on rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use.",Construction of two systems of drinking water supply in rural zones.,1,567
Focus of the project will be on water supply pumping stations.,Construction of two systems of drinking water supply in rural zones.,0,568
Focus of the project will be on large water supply systems.,Construction of water supply system; Construction of a national laboratory of water.,1,569
Focus of the project will be on ground water exploitation for agricultural use.,Contamination of the surface and groundwater.,0,570
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.","Continue electric vehicles pilots, especially examining market barriers, andor maintenance issues.",1,571
Focus of the project will be on biofuel-fired power plants.,Continue fuel switching to biomass in industries.,0,572
Focus of the project will be on non-renewable waste-fired electric power plants.,Continue fuel switching to biomass in industries.,1,573
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,Continue fuel switching to biomass in industries.,1,574
Focus of the project will be on biofuel-fired power plants.,Continue fuel switching to biomass in power generation.,1,575
Focus of the project will be on natural reserves and actions in the surrounding areas.,Continue the actions of preservation and management of protected areas.,1,576
Focus of the project will be on ozone layer preservation.,Continue the actions of preservation and management of protected areas.,0,577
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.","Continue the rehabilitation of water catchment areas in order to provide sustainable ecosystem services, including energy production.",1,578
"Focus of the project will be on sustainable management of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.","Continue the rehabilitation of water catchment areas in order to provide sustainable ecosystem services, including energy production.",0,579
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.","Continue the rehabilitation of water catchment areas in order to provide sustainable ecosystem services, including energy production.",0,580
Focus of the project will be on water transport.,Continue to accelerate the selective relocation of water intakes.,0,581
Focus of the project will be on basic drinking water supply.,Continuous supply of safe water in the communities.,1,582
Focus of the project will be on large water supply systems.,Continuous supply of water in the communities.,1,583
Focus of the project will be on shipbuilding.,"Contractors, maintenance personnel, and other personnel).",0,584
"Focus of the project will be adressing biodiversity, including marine pollution control","Contribution to the preservation of water resources to adapt to the effects of climate change and climate resilient conservation measures allowing species to adapt to climate change (e.g., protected eco corridors for migration) ",1,585
Focus of the project will be on air pollution control.,Control industrial pollution through effective regulations.,0,586
"Focus of the project will be on river and other inland water transport, inland barges and vessels.","Control of river water levels are improved, taking into account the water levels in neighbouring countries.",0,587
Focus of the project will be on prevention of water contamination.,Control saline water intrusion in the most severely affected areas.,1,588
Focus of the project will be on marine pollution control.,Control the risk of chemical pollution (and other types of pollution) of water sources.,1,589
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,590
Focus of the project will be on energy production and electricity generation from landfill gas capture.,Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,591
Focus of the project will be on nutrient extraction.,Conversion of sanitary landfill gases into energy (and utilization of biogas).,0,592
Focus of the project will be on solid waste to electricity generation.,Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,593
"Focus of the project will be on use of biogases from anaerobic fermentation (e.g. landfill gas, sewage sludge gas, fermentation of energy crops and manure) and thermal processes (also known as syngas).",Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,594
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,595
"Focus of the project will be on use of waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat).",Conversion of sanitary landfill gases into energy (and utilization of biogas).,1,596
Focus of the project will be on decarbonization of port handling and rolling equipment.,Coordinate data pools to establish data archiving and sharing protocols.,0,597
Focus of the project will be on shipbuilding.,Corporate engineering measures to increase the sedimentation rates along severely encroached.,0,598
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,Cost of agro-forestry and sustainable biomass energy technologies may prohibit wide-scale use.,1,599
Focus of the project will be on atmospheric water generation.,Crease generation of hydroelectricity from number mw to MW by 2030.,0,600
Focus of the project will be on afforestation for erosion control.,Crease of protection against erosion rate from to NUMBER  in NUMBER and NUMBER in 2020.,0,601
Focus of the project will be on brackish ground-water desalination.,Crease rainwater catchment and storage capacity or establish mini- desalination plants.,0,602
Focus of the project will be on bulk water storage.,Crease rainwater catchment and storage capacity or establish mini- desalination plants.,1,603
Focus of the project will be on ground-water abstraction.,Creased availability of ground water for irrigation.,1,604
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Creased participation of the private sector in solid waste management.,1,605
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Creased resilience of local communities and ecosystems through large-scale mangrove restoration and integrated farming systems.,1,606
Focus of the project will be on decarbonization of coastal and inland shipping.,"Creasing coastal inundation, erosion and loss of land.",0,607
Focus of the project will be on water treatment facilities.,Creasing water reuse.,1,608
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Create a network and transborder hydrologic models.,0,609
Focus of the project will be on water transport.,Create a network and transborder hydrologic models.,0,610
Focus of the project will be on navigation or guidance systems building.,Create a platform for knowledge and experience sharing on best adaptation practices.,0,611
Focus of the project will be on atmospheric water generation.,"Create and enhance water harvesting model (capture and storage, water distribution system and management system at all levels to avoid water shortages due to climate change.",1,612
Focus of the project will be on atmospheric water generation.,"Create, renovate and manage water sources according to human needs and protection of the environmental eco-system.",1,613
Focus of the project will be on decentralized water treatment.,"Create, renovate and manage water sources according to human needs and protection of the environmental eco-system.",1,614
Focus of the project will be on brackish ground-water desalination.,"Creation of a second desalination plant: The creation of a single desalination plant will not suffice to meet the populations drinking water needs, which totalled some NUMBER million m in As a result, the rapid launch of the construction of a second desalination plant could be envisaged.",0,615
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,Creation of revenue generation opportunities of stakeholders in the waste management process chain. Increased access to electricity and reduced dependency on traditional biomass energy.,1,616
Focus of the project will be on waste to production.,Creation of revenue generation opportunities of stakeholders in the waste management process chain. Increased access to electricity and reduced dependency on traditional biomass energy.,0,617
Focus of the project will be on food crop production.,Crop farming mostly for subsistence (trade and export limited to coconut products: oil and copra).,0,618
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).",Crop farming mostly for subsistence (trade and export limited to coconut products: oil and copra).,1,619
Focus of the project will be on food crop production.,Crop losses and fluctuation in animal production.,1,620
Focus of the project will be on food crop production.,Crop production and diversity and livestock numbers increased.,1,621
Focus of the project will be on supply of seeds for agricultural use.,Crop seeds do not reach maturity.,1,622
Focus of the project will be on food crop production.,Crop varieties and animal species collected.,0,623
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,Cross-country power grid (between adjacent cities).,0,624
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Cultivated species are mainly dominated by food crops, foreign income crops with 7 species, as well as fruit-bearing and market-gardening crops. Globally, food crops account for NUMBER of the production, coffee: NUMBER cotton, tea and sugar cane: 1.7, and the rest: 3.3.",1,625
Focus of the project will be on prevention of water contamination.,Current autonomous coping strategies:  avoiding washing in stagnant water which is contaminated.,1,626
Focus of the project will be on prevention of water contamination.,Current autonomous coping strategies:  avoiding water contamination with human faeces.,1,627
Focus of the project will be on afforestation for exploitation and utilisation.,Current autonomous coping strategies: afforestation and enclosures with rotational taping.,0,628
Focus of the project will be on fish stock protection.,Current autonomous coping strategies: stock dried fish before the change take place.,0,629
Focus of the project will be on afforestation for exploitation and utilisation.,Current project programme coping strategies: developing afforestation technologies for different regions.,0,630
Focus of the project will be on afforestation for industrial and rural consumption.,Current project programme coping strategies: developing afforestation technologies for different regions.,0,631
Focus of the project will be on afforestation for integrated forestry projects.,Current project programme coping strategies: developing afforestation technologies for different regions.,0,632
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Current project programme coping strategies: improve and upgrade existing coastal fresh water sources.,1,633
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Damage and loss of vessels and fishing gear and on shore infrastructure.,0,634
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Damage to riverbanks and irrigation systems.,0,635
Focus of the project will be on decarbonization of coastal and inland shipping.,Damage to transport infrastructure in coastal areas.,0,636
Focus of the project will be on on-shore power for ports.,Damage to transport infrastructure in coastal areas.,0,637
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Damage to transport infrastructure in coastal areas.,0,638
Focus of the project will be on navigation or guidance systems building.,Data and information on adaptation being shared with and incorporated into centralized systems (eg NAB portal).,0,639
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,Data base with quarterly salinity levels in the coastal areas.,1,640
Focus of the project will be on fish stock protection.,"Data collection, research (including modelling) and monitoring of fish stocks assessed, tested and improved for making appropriate investment decisions (e.g. SMART FADs), being aware of the risks of overexploitation and potential climate impacts.",1,641
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,Database of water and forest resources in major watersheds established.,1,642
Focus of the project will be on water resources data collection.,Database of water and forest resources in major watersheds established.,1,643
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Decline of crop productivity (tea, rubber, coconut, spices, sugar and cashew).",1,644
Focus of the project will be on food crop production.,"Declining, and failure of, crop production.",1,645
Focus of the project will be on landfill gas capture and destruction from landfills.,Decommission landfills in flood risk areas.,0,646
Focus of the project will be on recycling and recovery facilities.,Decommission landfills in flood risk areas.,0,647
Focus of the project will be on brackish ground-water desalination.,Decrease the underground water stock and seasonal streams.,1,648
Focus of the project will be on ballast water treatment.,Decreased quality of water for industrial supply.,0,649
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Degraded sand dunes and wetlands preserved and restored.,1,650
Focus of the project will be on biosphere protection.,Delineate and protect a strip of natural vegetation of at least number m in strategic zones around the marshy complex and lakes of Bugesera.,1,651
Focus of the project will be on afforestation for erosion control.,Delineation of flood and erosion hazard areas.,0,652
Focus of the project will be on decarbonization of coastal and inland shipping.,Demarcate coastal zones vulnerable to inundation.,0,653
Focus of the project will be on marine pollution control.,Demarcating marine protected areas and conduct monitoring on their status.,0,654
"Focus of the project will be on sustainable protection of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Demarcation and gazettement of number critical and vital wetland systems and their maintenance country wide as carbon sink.,1,655
"Focus of the project will be on sustainable protection of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Demarcation and protection of riverine vegetation.,1,656
Focus of the project will be on flood prevention and control.,Demonstrate  innovative flood control measures  for three selected  islands.,1,657
Focus of the project will be on flood prevention and control.,Demonstrate  innovative flood control measures  suitable  for small islands.,1,658
Focus of the project will be on afforestation for industrial and rural consumption.,"Demonstrate models to diversify rural household income, including agro-forestry based livelihoods models, rangeland and wildlife protection schemes, and investment into production of sustainable household energy appliances such as fuel efficient stoves.",1,659
Focus of the project will be on ballast water treatment.,Demonstration  of appropriate wastewater  treatment  and disposal.,0,660
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Demonstration  of appropriate wastewater  treatment  and disposal.,1,661
Focus of the project will be on port waste and wastewater treatment.,Demonstration  of appropriate wastewater  treatment  and disposal.,0,662
Focus of the project will be on potable water treatment plants.,Demonstration  of appropriate wastewater  treatment  and disposal.,0,663
Focus of the project will be on waste management and disposal.,Demonstration  of appropriate wastewater  treatment  and disposal.,1,664
Focus of the project will be on wastewater collection.,Demonstration  of appropriate wastewater  treatment  and disposal.,1,665
Focus of the project will be on wastewater to electricity generation.,Demonstration  of appropriate wastewater  treatment  and disposal.,0,666
Focus of the project will be on wastewater treatment facilities.,Demonstration  of appropriate wastewater  treatment  and disposal.,1,667
Focus of the project will be on water treatment facilities.,Demonstration  of appropriate wastewater  treatment  and disposal.,0,668
Focus of the project will be on afforestation for industrial and rural consumption.,"Dependency towards the import of food products is increasing. the most destitute populations are forced to rural exodus in order to try and avoid precariousness, following the degradation of cultivable soils and income cut.",0,669
Focus of the project will be on municipal and industrial solid waste composting and reuse.,"Depending upon the composition of wte material, plants can be designed with the capacities of processing NUMBER tonsday of Hospital Waste, Municipal solid Waste Water, Industrial Effluent, dustrial Wastes, Mixed Waste plus tires, Mixed Waste Plus Dried Sewage Sludge, Crop Residue, etc. Rice Husk, Cotton Stalk, Jute Waste, Bagasse, Livestock Manure and other organic waste can also be used for power generation and high grade organic fertilizer production. Municipal solid waste is considered as the one that can be collected and deployed for generation of electricity at least in large cities of the country and can supplement in combating energy crises in the country.As per estimates, around tons per day of municipal solid waste is generated in Pakistan. The studies reveal that the rate of waste generation on average from all type of municipal controlled areas varied from 0.283 kgcapitaday to 0.613 kgcapitaday or from 1.896kg householdday to 4.29 kghouseday.",1,670
"Focus of the project will be on use of waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat).","Depending upon the composition of wte material, plants can be designed with the capacities of processing NUMBER tonsday of Hospital Waste, Municipal solid Waste Water, Industrial Effluent, dustrial Wastes, Mixed Waste plus tires, Mixed Waste Plus Dried Sewage Sludge, Crop Residue, etc. Rice Husk, Cotton Stalk, Jute Waste, Bagasse, Livestock Manure and other organic waste can also be used for power generation and high grade organic fertilizer production. Municipal solid waste is considered as the one that can be collected and deployed for generation of electricity at least in large cities of the country and can supplement in combating energy crises in the country.As per estimates, around tons per day of municipal solid waste is generated in Pakistan. The studies reveal that the rate of waste generation on average from all type of municipal controlled areas varied from 0.283 kgcapitaday to 0.613 kgcapitaday or from 1.896kg householdday to 4.29 kghouseday.",1,671
Focus of the project will be on biosphere protection.,Deploy ecosystem-based solutions (soft defences) to address climate impacts on local livelihoods e.g. wetland rehabilitation.,1,672
Focus of the project will be on on-shore power for ports.,Deploy networks of nearshore fads to increase access to pelagic fish and reduce pressure on coastal fisheries.,0,673
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.",Deploy networks of nearshore fads to increase access to pelagic fish and reduce pressure on coastal fisheries.,0,674
Focus of the project will be on sustainable solutions for ports.,Deploy networks of nearshore fads to increase access to pelagic fish and reduce pressure on coastal fisheries.,0,675
Focus of the project will be on atmospheric water generation.,Desalination  other alternative water sources.,0,676
Focus of the project will be on ballast water treatment.,Desalination  other alternative water sources.,0,677
Focus of the project will be on brackish ground-water desalination.,Desalination  other alternative water sources.,1,678
Focus of the project will be on bulk water supply.,Desalination  other alternative water sources.,0,679
Focus of the project will be on potable water treatment plants.,Desalination  other alternative water sources.,0,680
Focus of the project will be on water pumping.,Desalination  other alternative water sources.,0,681
Focus of the project will be on water transport.,Desalination  other alternative water sources.,0,682
Focus of the project will be on water transport.,Desalination of other alternative water sources.,0,683
Focus of the project will be on ocean water desalination.,Desalination of sea water for domestic and economic sectors in number coastal towns and llages and NUMBER islands.,1,684
Focus of the project will be on potable water treatment plants.,Desalination plant for vulnerable rural community.,1,685
Focus of the project will be on ocean water desalination.,Desalinization of seawater in order to reach a capacity of million m3 per year for a forecasted cost of USD NUMBER billion.,1,686
Focus of the project will be on supply of seeds for agricultural use.,"Description : The objective of the project is to ensure the production and distribution of good quality seeds and arieties of food-producing crops (sweet potato, banana, cassava, tarot, leguminous plants, etc.), which are more adapted to drought. The main activities will deal with: Supporting small farmers in producing and preserving seeds and varieties of food-producing crops which are more adapted to drought, To turn the production of seeds and more adapted varieties into a profitable economic activity.",1,687
Focus of the project will be on afforestation for integrated forestry projects.,Description Objectives: The global objective of the project is to enhance the management of forest resources for continuous supply of products for sustainable livelihood.,1,688
Focus of the project will be on fish stock protection.,Description objectives: To prevent or reduce the destruction of vulnerable fishing habitats; To reduce the possibility of the decline of fishery productivity.,1,689
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,"Description: GOAL: Adaptation to frequent water shortages through increasing household water capacity, water collection accessories, and water conservation technologies.",0,690
Focus of the project will be on water resources conservation.,"Description: GOAL: Adaptation to frequent water shortages through increasing household water capacity, water collection accessories, and water conservation technologies.",1,691
Focus of the project will be on water resources data collection.,"Description: GOAL: Adaptation to frequent water shortages through increasing household water capacity, water collection accessories, and water conservation technologies.",0,692
Focus of the project will be on integrated fishery projects.,"Design  and  implement  training  and  awareness  programs  for  the  use  of efficient, environment friendly fishing techniques and equipment.",0,693
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Design and construct appropriate wastewater  treatment and disposal system.,1,694
Focus of the project will be on waste management and disposal.,Design and construct appropriate wastewater  treatment and disposal system.,1,695
Focus of the project will be on wastewater treatment facilities.,Design and construct appropriate wastewater  treatment and disposal system.,1,696
Focus of the project will be on ballast water treatment.,Design and construct appropriate wastewater treatment and disposal system.,0,697
Focus of the project will be on domestic and industrial waste water treatment plants.,Design and construct appropriate wastewater treatment and disposal system.,1,698
Focus of the project will be on large sanitation systems.,Design and construct appropriate wastewater treatment and disposal system.,0,699
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Design and construct appropriate wastewater treatment and disposal system.,0,700
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Design and construct appropriate wastewater treatment and disposal system.,1,701
Focus of the project will be on waste management and disposal.,Design and construct appropriate wastewater treatment and disposal system.,0,702
Focus of the project will be on wastewater collection.,Design and construct appropriate wastewater treatment and disposal system.,1,703
Focus of the project will be on wastewater to electricity generation.,Design and construct appropriate wastewater treatment and disposal system.,0,704
Focus of the project will be on wastewater treatment facilities.,Design and construct appropriate wastewater treatment and disposal system.,1,705
Focus of the project will be on decarbonization of port handling and rolling equipment.,Design and implement a programme of best practices to increase fishing vessel stability and safety at sea e.g. by investing in appropriate vessels that are safer in increasingly rough conditions.,0,706
Focus of the project will be on fish stock protection.,Design and implement a programme of best practices to increase fishing vessel stability and safety at sea e.g. by investing in appropriate vessels that are safer in increasingly rough conditions.,0,707
Focus of the project will be on atmospheric water generation.,Design and implement solutions for rainwater collection and usage.,0,708
Focus of the project will be on wastewater collection.,Design and implement solutions for rainwater collection and usage.,0,709
Focus of the project will be on water resources data collection.,Design and implement solutions for rainwater collection and usage.,0,710
Focus of the project will be on afforestation for desertification control.,Design and implement sustainable land management strategies to combat desertification and land degradation.,0,711
Focus of the project will be on navigation or guidance systems building.,Design and implement terrace rehabilitation programs.,0,712
Focus of the project will be on navigation or guidance systems building.,Design and implement watershed management  and terrace-rehabilitation programs.,0,713
Focus of the project will be on climate resilient port infrastructure.,Design and infrastructure: ensuring adherence to designs that take into account emerging climate change impacts and create resilient infrastructures.,1,714
Focus of the project will be on supply of agricultural machinery/equipment.,"Design and promote appropriate on-farm transportation, processing and storage structures, especially for small scale farmers to minimize or prevent post-harvest losses.",1,715
Focus of the project will be on fishing boats building.,"Design and set up as pilot projects, marine protected areas and artificial reef sites.",0,716
Focus of the project will be on bulk water storage.,Design rational strategies to harness excess water in storage facilities (Focus: Intra-basin and trans-basin approaches).,1,717
Focus of the project will be on bulk water supply.,Design rational strategies to harness excess water in storage facilities (Focus: Intra-basin and trans-basin approaches).,0,718
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Designing and implementing comprehensive solid waste management strategies for 40 to NUMBER of LAs before 2030.,1,719
Focus of the project will be on supplying water to commercial and residential establishments.,"Despite the energy intensive nature of water desalination technology, under the current project design, it is believed that the water desalination project in Patong will be able to achieve energy savings by replacing trucked water supply and hence lead to GHG emissions reductions as compared to the current baseline water supply situation in the region, and these emission reductions of 56 - 64% can be considered material",1,720
Focus of the project will be on exploitation and utilisation of fisheries.,Develop   and   implement   assessment   and   monitoring   programme   for fishery resources.,0,721
Focus of the project will be on integrated fishery projects.,Develop   and   implement   assessment   and   monitoring   programme   for fishery resources.,0,722
